BV号：BV19B4y1s7Sw
标题：BV19B4y1s7Sw
链接：https://www.bilibili.com/video/BV19B4y1s7Sw
识别语言：zh
语言置信度：1
分段数：31
生成时间：2026-04-03 18:33:25

[00:00:00 - 00:00:02] 清华是爹 北大是妈 生出个孩子的叫神大
[00:00:02 - 00:00:04] 深圳大学这个学校很有意思
[00:00:04 - 00:00:06] 它是我们全国所有的
[00:00:06 - 00:00:08] 非221非985分最高的学校就是它
[00:00:08 - 00:00:09] 但有的家长说张老师
[00:00:09 - 00:00:11] 他不是221不是985不是双银流
[00:00:11 - 00:00:12] 老师我不想抱他
[00:00:12 - 00:00:13] 他现在就业怎么样
[00:00:13 - 00:00:14] 就业非常好
[00:00:14 - 00:00:17] 你觉得他在乎自己是不是221 985吗
[00:00:17 - 00:00:18] 他不在乎
[00:00:18 - 00:00:20] 深圳大学跟我同龄不到40岁
[00:00:20 - 00:00:22] 可能家长说这就以为张老师五六十了
[00:00:22 - 00:00:24] 我都说那人41朵花
[00:00:24 - 00:00:26] 我是一个花菇朵
[00:00:26 - 00:00:27] 深圳大学跟我同龄
[00:00:27 - 00:00:28] 我没有寄缩的话
[00:00:28 - 00:00:29] 它是84年才成立的
[00:00:29 - 00:00:32] 这个学校我跟你说母太sogo就很好
[00:00:32 - 00:00:33] 用现在的话讲叫富二代
[00:00:33 - 00:00:34] 知道吧
[00:00:34 - 00:00:36] 他的理工类是清华大学原建的
[00:00:36 - 00:00:38] 他的文科类是北大原建的
[00:00:38 - 00:00:38] 知道吧
[00:00:38 - 00:00:39] 清华是爹
[00:00:39 - 00:00:40] 北大是妈
[00:00:40 - 00:00:42] 生出个孩子叫神大
[00:00:42 - 00:00:43] 所以说你觉得他在乎自己
[00:00:43 - 00:00:45] 是不是所谓的2198我们不在乎
[00:00:45 - 00:00:46] 我爸我妈牛逼
[00:00:46 - 00:00:47] 我就牛逼
