BV号：BV1Kh411m7hV
标题：BV1Kh411m7hV
链接：https://www.bilibili.com/video/BV1Kh411m7hV
识别语言：zh
语言置信度：1
分段数：55
生成时间：2026-04-04 00:29:50

[00:00:01 - 00:00:04] 花了兩個月的時間才到大學報道
[00:00:04 - 00:00:06] 短短八年確認無數人懷念
[00:00:06 - 00:00:09] 這種神奇的大學你應該知道一下
[00:00:09 - 00:00:12] 以前包括現在常有人會調侃
[00:00:12 - 00:00:15] 說在大西北的同學是不是都騎著路子去上大學
[00:00:15 - 00:00:17] 在那木骨的同學是不是騎著馬去上大學
[00:00:17 - 00:00:19] 就跟七天取經一樣
[00:00:19 - 00:00:20] 走上了十年八年
[00:00:20 - 00:00:22] 現在肯定不會這樣誇張的事兒了
[00:00:22 - 00:00:26] 但以前真的是有這樣一批人走路去上大學的
[00:00:26 - 00:00:28] 甚至花了兩個月才走到
[00:00:28 - 00:00:29] 而且不是你想像的
[00:00:29 - 00:00:31] 自己一個人背著書包去上學堂
[00:00:31 - 00:00:33] 而是上百人的大隊伍
[00:00:33 - 00:00:34] 浩浩蕩蕩的
[00:00:34 - 00:00:35] 有老師也有學生
[00:00:35 - 00:00:37] 一起長途拔射上學
[00:00:37 - 00:00:40] 想想是不是也是一種不一樣的體驗
[00:00:40 - 00:00:42] 他們從長沙走到了昆明
[00:00:42 - 00:00:44] 一共走了3200多里
[00:00:44 - 00:00:46] 條件那麼艱苦的情況下
[00:00:46 - 00:00:48] 200多號人沒有一個人掉隊
[00:00:48 - 00:00:50] 現在十幾個人的旅行團
[00:00:50 - 00:00:51] 還有人掉隊
[00:00:51 - 00:00:53] 他們200餘人完完整整的
[00:00:53 - 00:00:54] 走到了昆明
[00:00:54 - 00:00:56] 那個時候是1938年
[00:00:56 - 00:00:58] 戰火綿延
[00:00:58 - 00:00:59] 上學路上千難萬險
[00:00:59 - 00:01:02] 難度真的不亞於西天取經
[00:01:02 - 00:01:03] 在湖南境內
[00:01:03 - 00:01:06] 老師和同學們還差點遇上了詳細的一幫土匪
[00:01:06 - 00:01:08] 聽說可能有土匪
[00:01:08 - 00:01:09] 同學們都已經嚇壞了
[00:01:09 - 00:01:11] 不過最後沒有遇到
[00:01:11 - 00:01:12] 後來過了好久才知道
[00:01:12 - 00:01:15] 當時的土匪王聽湖南省政府說
[00:01:15 - 00:01:17] 說這些窮學生是借道去雲南讀書的
[00:01:17 - 00:01:19] 就沒有為難他們
[00:01:19 - 00:01:20] 果難當頭的關口
[00:01:20 - 00:01:23] 難得土匪們也是普您心腸的一回
[00:01:23 - 00:01:25] 成全了這一群讀書人
[00:01:25 - 00:01:27] 果然無論什麼時候
[00:01:27 - 00:01:28] 知識就是力量
[00:01:28 - 00:01:31] 土匪都知道这群学生可能就是国家的未来
[00:01:31 - 00:01:34] 当时他们上学是非常非常的执着
[00:01:34 - 00:01:37] 这学校是必须开到底的
[00:01:37 - 00:01:39] 这学也是必须上到底的
[00:01:39 - 00:01:42] 咱们心怀对国家和学术的斥产
[00:01:42 - 00:01:44] 说到这可能已经有同学猜出来
[00:01:44 - 00:01:45] 是哪一所大学了
[00:01:45 - 00:01:46] 来来来
[00:01:46 - 00:01:47] 举手让张老师看一看
[00:01:47 - 00:01:50] 让我们看看你们知道的知识力量有多大
[00:01:51 - 00:01:54] 更多精彩请关注张学峰老师
