BV号：BV1Uj411B7rP
标题：BV1Uj411B7rP
链接：https://www.bilibili.com/video/BV1Uj411B7rP
识别语言：zh
语言置信度：1
分段数：61
生成时间：2026-04-03 14:03:33

[00:00:00 - 00:00:02] 因为有的时候我跟大家这样说
[00:00:02 - 00:00:08] 就是有一些专业对于越好的城市的家长来讲
[00:00:08 - 00:00:10] 可能就越不友好
[00:00:11 - 00:00:14] 有一些专业对于越好的城市的家长来讲
[00:00:14 - 00:00:16] 就越不友好
[00:00:16 - 00:00:16] 为什么呢
[00:00:16 - 00:00:18] 因为有些专业卷道
[00:00:18 - 00:00:20] 你想留在好城市
[00:00:20 - 00:00:22] 你的院校法学必须要高
[00:00:24 - 00:00:25] 就达到了这
[00:00:25 - 00:00:26] 就比如说我给大家举个例子
[00:00:26 - 00:00:28] 刚才很多朋友说的说
[00:00:28 - 00:00:30] 老师可以报电器报长沙礼工
[00:00:30 - 00:00:31] 确实他报电器报长沙礼工
[00:00:31 - 00:00:33] 他的表面肯定上
[00:00:33 - 00:00:34] 但是他毕竟是长沙的
[00:00:34 - 00:00:35] 他很有可能说
[00:00:35 - 00:00:36] 张老师我想留在长沙
[00:00:37 - 00:00:39] 你要想留在长沙的话
[00:00:39 - 00:00:41] 那长沙礼工这个院校板子
[00:00:41 - 00:00:42] 因为他不是二二一
[00:00:42 - 00:00:44] 他够不够留在长沙
[00:00:44 - 00:00:47] 七年以后谁都说不准
[00:00:48 - 00:00:49] 大家能讲
[00:00:50 - 00:00:51] 谁都说不准
[00:00:51 - 00:00:52] 你搞不好的话
[00:00:52 - 00:00:53] 到最后的时候你不是酒吧
[00:00:53 - 00:00:55] 五人家最后要求个三九
[00:00:55 - 00:00:55] 你不是酒吧
[00:00:55 - 00:00:57] 五你的选择跟你的想法
[00:00:57 - 00:00:59] 是背道而馳的
[00:00:59 - 00:01:00] 所以说这个时候的话
[00:01:00 - 00:01:03] 越好的城市的家长
[00:01:03 - 00:01:05] 你在选择某些专业的时候
[00:01:05 - 00:01:07] 就越应该去胜利
[00:01:07 - 00:01:09] 因为就像刚才我做的
[00:01:09 - 00:01:10] 比如临床医学
[00:01:10 - 00:01:12] 你要想留在省会
[00:01:12 - 00:01:14] 你要留在省会的医院
[00:01:14 - 00:01:15] 然后的话你临床医学
[00:01:15 - 00:01:17] 这你要不是搞个博士回来
[00:01:17 - 00:01:19] 那确实是很麻烦
[00:01:19 - 00:01:21] 那这个时候他所谓的这个时间
[00:01:21 - 00:01:23] 长这个缺点就提前出来了
[00:01:23 - 00:01:26] 但是你说老说我们家里边
[00:01:26 - 00:01:27] 什么情况呢
[00:01:27 - 00:01:29] 老说我们家里边不是省会的
[00:01:29 - 00:01:32] 就业不一定非得去那种大型城市的省会
[00:01:32 - 00:01:34] 我地级式的我能接受
[00:01:34 - 00:01:35] 那这个时候的话
[00:01:35 - 00:01:39] 医学也不是说完全不能学
[00:01:39 - 00:01:39] 大家能理解吗
[00:01:39 - 00:01:42] 所以说有的时候得分你是什么情况
[00:01:42 - 00:01:45] 你不能说什么人就一定不能学什么专业
[00:01:45 - 00:01:47] 或者什么专业一定就是不是很好的
[00:01:47 - 00:01:48] 你这不能是这样子的
[00:01:48 - 00:01:50] 这个要因人而异的
[00:01:50 - 00:01:51] 因家庭而异的
[00:01:51 - 00:01:52] 每个家庭每个情况不一样
[00:01:52 - 00:01:55] 这个不能那么选
[00:01:55 - 00:01:56] 不能特別無斷地選
