BV号：BV1PH4y1j7fH
标题：BV1PH4y1j7fH
链接：https://www.bilibili.com/video/BV1PH4y1j7fH
识别语言：zh
语言置信度：1
分段数：56
生成时间：2026-04-03 11:49:05

[00:00:00 - 00:00:02] 这两天我在网上看了一个特别火的视频
[00:00:02 - 00:00:04] 一个女孩跟她妈吵架
[00:00:04 - 00:00:06] 那个女孩就说
[00:00:06 - 00:00:09] 我宁可到一个好大学学一个差转业
[00:00:09 - 00:00:12] 我也不到一个烂大学学一个烂转业
[00:00:12 - 00:00:13] 她妈说我花钱给你报的职员
[00:00:15 - 00:00:16] 孩子就说说妈你记住
[00:00:16 - 00:00:19] 将来我未来走的每一步困难都烂一
[00:00:19 - 00:00:21] 首先我可以非常负责任的时候
[00:00:21 - 00:00:22] 她妈给她花钱报的职员
[00:00:22 - 00:00:25] 肯定不是在我那儿报的
[00:00:25 - 00:00:26] 为什么
[00:00:26 - 00:00:27] 因为我们在报职员的时候
[00:00:27 - 00:00:29] 必须要跟孩子过
[00:00:29 - 00:00:30] 如果说
[00:00:30 - 00:00:31] 在报纸院的过程当中
[00:00:31 - 00:00:32] 孩子不参与沟通
[00:00:32 - 00:00:33] 这个选手
[00:00:33 - 00:00:34] 我直接不服务
[00:00:34 - 00:00:34] 直接给你退费
[00:00:35 - 00:00:36] 因为最后上大学的是孩子
[00:00:37 - 00:00:39] 我们最后一定跟家长上来好
[00:00:39 - 00:00:41] 是要遵照对于孩子的意愿
[00:00:41 - 00:00:43] 而不是依照你家长的意愿
[00:00:43 - 00:00:44] 所以说有很多时候
[00:00:44 - 00:00:45] 在我直播间联卖的家长
[00:00:45 - 00:00:47] 你在说你这个想法的时候
[00:00:47 - 00:00:48] 你有没有跟你孩子沟通过
[00:00:49 - 00:00:50] 我打一个大大的问号
[00:00:51 - 00:00:51] 第二点
[00:00:51 - 00:00:52] 针对另一个视频
[00:00:52 - 00:00:54] 我还有一个想法是说什么呢
[00:00:54 - 00:00:56] 你如果不帮他
[00:00:56 - 00:00:56] 他将来
[00:00:56 - 00:00:58] 因为他那个分我看了一下说
[00:00:58 - 00:01:00] 他原本要到221共产大学学金融的
[00:01:00 - 00:01:02] 他将来进了那个体系
[00:01:02 - 00:01:04] 他将来会不会有一天在反过来怪你
[00:01:04 - 00:01:05] 你帮他筹划的
[00:01:05 - 00:01:07] 他怪你筹划的不好
[00:01:07 - 00:01:08] 你不帮他筹划
[00:01:08 - 00:01:09] 他有没有可能会怪你
[00:01:09 - 00:01:10] 你没有帮他筹划
[00:01:11 - 00:01:12] 这就是为什么
[00:01:12 - 00:01:14] 我们在给大家做这方面规划的时候
[00:01:14 - 00:01:17] 我们说最后定师你自己定
[00:01:18 - 00:01:19] 你说张老师
[00:01:19 - 00:01:22] 你说到底选好大学的边缘专业好
[00:01:22 - 00:01:23] 还是选
[00:01:24 - 00:01:27] 所谓普通大学的好专业好
[00:01:27 - 00:01:28] 我给你分析清楚
[00:01:28 - 00:01:30] 你将来这两种选择
[00:01:30 - 00:01:32] 会有什么样的结果
[00:01:32 - 00:01:34] 选择是你自己定的
[00:01:34 - 00:01:35] 我不没法给你定
[00:01:35 - 00:01:37] 你的未来你做的
