BV号：BV1k34y1i72D
标题：BV1k34y1i72D
链接：https://www.bilibili.com/video/BV1k34y1i72D
识别语言：zh
语言置信度：1
分段数：46
生成时间：2026-04-03 20:46:49

[00:00:00 - 00:00:06] 但实际上的话,保险和证券两个行道,目前我们了解到他们招聘的原则是
[00:00:06 - 00:00:07] 不要本科学基融的。
[00:00:07 - 00:00:09] 哎,你好,是你。
[00:00:09 - 00:00:10] 是,哎,你好。
[00:00:10 - 00:00:12] 哎,你好,真脸是吧?
[00:00:12 - 00:00:13] 对,您哪个声儿?
[00:00:13 - 00:00:14] 哎,你好。
[00:00:14 - 00:00:16] 那个,我是河北高二的家长。
[00:00:16 - 00:00:19] 河北高二选的啥?
[00:00:19 - 00:00:20] 物化生。
[00:00:20 - 00:00:21] 哦,还好一些。
[00:00:21 - 00:00:24] 物化生,想想做什么行当,有没有?
[00:00:24 - 00:00:27] 有,他想学基融,对。
[00:00:27 - 00:00:28] 还有计算机。
[00:00:28 - 00:00:29] 计算机啊。
[00:00:29 - 00:00:33] 我告诉你这两个专业如果说在我们这儿报支院的话
[00:00:33 - 00:00:34] 在我们这儿添的话
[00:00:34 - 00:00:37] 我们一个金融专业都不会给你添
[00:00:37 - 00:00:39] 会给你全天计算机
[00:00:39 - 00:00:40] 卫闪磨
[00:00:40 - 00:00:44] 我们很多家长和考生对金融的粗险理解是什么呢
[00:00:44 - 00:00:44] 银行
[00:00:44 - 00:00:47] 但实际上金融不只有银行
[00:00:47 - 00:00:49] 就是还有其他的业务
[00:00:49 - 00:00:52] 我们说到保险证券投资金融租赁
[00:00:52 - 00:00:53] 但实际上的话
[00:00:53 - 00:00:55] 保险和证券两个行道
[00:00:55 - 00:00:58] 目前我们了解到他们招聘的原则是
[00:00:58 - 00:01:00] 不要本科學技能的
[00:01:00 - 00:01:02] 要本科和研究生學功科的
[00:01:02 - 00:01:03] 為什麼
[00:01:03 - 00:01:05] 因為不管是做證券分析
[00:01:05 - 00:01:06] 他證券分析要分析行業的
[00:01:06 - 00:01:10] 包括說他做投資是要投資某一個產業的
[00:01:10 - 00:01:12] 那他如果沒有專業背景的話
[00:01:12 - 00:01:15] 他根本就看不懂人家的項目
[00:01:15 - 00:01:17] 你怎麼去給人家做投資啊
[00:01:17 - 00:01:18] 我給你舉個例子
[00:01:18 - 00:01:20] 比如說現在我要投一家人工智能企業
[00:01:20 - 00:01:23] 我一個本科學技能研究生學技能的人
[00:01:23 - 00:01:25] 我要投一家人工智能企業
[00:01:25 - 00:01:27] 他說的是真的假的
[00:01:27 - 00:01:28] 你分辨得了嗎
[00:01:28 - 00:01:29] 你分辨不了为什么
[00:01:29 - 00:01:31] 你不是学这一块的
[00:01:31 - 00:01:32] 你只能听他跟你吹
