BV号：BV1Cw4m1f7FN
标题：BV1Cw4m1f7FN
链接：https://www.bilibili.com/video/BV1Cw4m1f7FN
识别语言：zh
语言置信度：1
分段数：19
生成时间：2026-04-03 11:50:25

[00:00:00 - 00:00:02] 真的我今天就在直播间预言一下
[00:00:02 - 00:00:03] 我说你看
[00:00:03 - 00:00:05] 我今天就可以说
[00:00:05 - 00:00:06] 今天是不到3月1号
[00:00:06 - 00:00:09] 今年8月1号
[00:00:09 - 00:00:11] 我们本年度
[00:00:11 - 00:00:13] 因为我们6月份7月份是不直播的
[00:00:13 - 00:00:15] 这个大家往常我的老粉丝都知道
[00:00:15 - 00:00:16] 我6月份7月份不直播
[00:00:16 - 00:00:20] 我们8月1号不播以后一定会有家长
[00:00:20 - 00:00:22] 问我们张老师
[00:00:22 - 00:00:24] 我还会被录取到了什么什么专业
[00:00:24 - 00:00:25] 这个专业是干啥的
[00:00:25 - 00:00:27] 肯定有人会问
[00:00:27 - 00:00:29] 我们回头就把这一段
[00:00:29 - 00:00:32] 跟8月份有直播店家长联邦问
[00:00:32 - 00:00:34] 老师我们家还得为什么做远路了
[00:00:34 - 00:00:35] 这个专业是干啥的
[00:00:35 - 00:00:36] 8月份肯定有人
