BV号：BV1Cf4y1R7AF
标题：BV1Cf4y1R7AF
链接：https://www.bilibili.com/video/BV1Cf4y1R7AF
识别语言：zh
语言置信度：1
分段数：125
生成时间：2026-04-04 01:40:54

[00:00:00 - 00:00:03] 这是一个教你怎么在高考的志愿填冒当中
[00:00:03 - 00:00:08] 如何选学校,如何选专业,如何报志愿不后悔的付费专栏
[00:00:11 - 00:00:13] 给大家推荐这样几类学校
[00:00:13 - 00:00:14] 第一类学校就是这两个
[00:00:14 - 00:00:16] 我们把它放在第一类推荐
[00:00:16 - 00:00:16] 为什么呢
[00:00:16 - 00:00:19] 因为在传播于海员工程专业这边
[00:00:19 - 00:00:23] 这两个专业相对是比较九福盛名的
[00:00:23 - 00:00:25] 比如像哈尔滨空城大学
[00:00:25 - 00:00:27] 这个学校有个别生叫做哈传博
[00:00:27 - 00:00:32] 哈传博是原来的一个军校
[00:00:32 - 00:00:35] 后来在上个世纪的60年代
[00:00:35 - 00:00:38] 哈军工进行了一个拆分
[00:00:38 - 00:00:42] 拆分了半天只把一个院系留在了哈尔滨
[00:00:42 - 00:00:44] 叫做海军工程系
[00:00:44 - 00:00:47] 留在了哈尔滨成为了当时的叫哈传播
[00:00:47 - 00:00:49] 现代改名叫哈工程
[00:00:49 - 00:00:52] 所以说你会发现哈工程的传播制造
[00:00:52 - 00:00:53] 这样的一个专业
[00:00:53 - 00:00:56] 排在全国一直是数一数二的
[00:00:56 - 00:00:57] 一直是数一数二的
[00:00:57 - 00:00:59] 当然这个学校是R1
[00:00:59 - 00:01:01] 而且在我当年最火的时候
[00:01:01 - 00:01:04] 就是当年给大家讲七分钟解读34所的时候
[00:01:04 - 00:01:06] 这个学校真的被我一顿吹嘘
[00:01:06 - 00:01:07] 现在分也不低了
[00:01:07 - 00:01:08] 那我现在再告诉大家
[00:01:08 - 00:01:10] 另外一个学校分不会很高的
[00:01:10 - 00:01:12] 那个学校叫江苏科技大学
[00:01:12 - 00:01:18] 江苏科技大学也是一个也造传为核心的一个学校
[00:01:18 - 00:01:19] 后来他改名了
[00:01:19 - 00:01:22] 改成现在的叫江苏科技大学
[00:01:22 - 00:01:23] 当然这个学校大家一定要注意一下
[00:01:23 - 00:01:25] 这个学校在郑江
[00:01:25 - 00:01:28] 他有两个校区郑江校区和张家岗校区
[00:01:28 - 00:01:29] 和张家岗校区
[00:01:29 - 00:01:32] 当然这个学校如果你学了传播的相关专业
[00:01:32 - 00:01:33] 像传播工程啊
[00:01:33 - 00:01:34] 像机械工程啊
[00:01:34 - 00:01:39] 你未来以后进入造船厂基本上都是很稳很稳的
[00:01:39 - 00:01:42] 当然造船厂的工资也是不低的
[00:01:42 - 00:01:43] 相对也都比较稳定
[00:01:43 - 00:01:45] 跟国企是一个样子的
[00:01:45 - 00:01:46] 跟国企这个样子的
[00:01:46 - 00:01:48] 那么除了像这两个学校以外
[00:01:48 - 00:01:50] 包括像沿海城市的一些高校
[00:01:50 - 00:01:52] 也都会有这样的专业也都比较好
[00:01:52 - 00:01:56] 比如像大连地区的像大连领工大连海事和大连海洋
[00:01:56 - 00:01:58] 大连的高校只要是跟工科有点关系的
[00:01:58 - 00:02:01] 你会发现都会有这个专业
[00:02:01 - 00:02:01] 包括这个专业
[00:02:01 - 00:02:03] 包括像上海的上海海市和
[00:02:04 - 00:02:04] 上海海洋大学
[00:02:04 - 00:02:06] 当然包括上海的上海交通大学
[00:02:06 - 00:02:07] 上海军当大学
[00:02:07 - 00:02:08] 我原来给大家讲过
[00:02:08 - 00:02:12] 他001号院系就是传播于海洋工程
[00:02:12 - 00:02:13] 传播于海洋工程
[00:02:13 - 00:02:14] 所以说的话
[00:02:14 - 00:02:15] 你像这些沿海城市的高校
[00:02:15 - 00:02:17] 基本上也都会有
[00:02:17 - 00:02:19] 传播于海洋工程专业
[00:02:19 - 00:02:21] 当然你在研究中阶段以后的话
[00:02:21 - 00:02:23] 你还有可能会碰到另外一种
[00:02:23 - 00:02:26] 招生单位叫做科研院所
[00:02:26 - 00:02:29] 这种科研院所本科阶段不招生
[00:02:29 - 00:02:30] 它严决成阶段来招生
[00:02:30 - 00:02:32] 严决成阶段招生包括什么呢
[00:02:32 - 00:02:34] 像北京的中国舰船设计院
[00:02:34 - 00:02:38] 上海的中国船国及海洋工程设计研究院
[00:02:38 - 00:02:41] 这种叫什么叫做研招单位
[00:02:41 - 00:02:44] 它叫做科研院所的研招单位
[00:02:44 - 00:02:45] 它这种叫高校
[00:02:45 - 00:02:47] 刘老师那如果说我独立研究生
[00:02:47 - 00:02:48] 如果说我独立研究生
[00:02:48 - 00:02:52] 这种科研院所跟高校什么最重要的差别
[00:02:52 - 00:02:54] 我就给你讲一点最最重要的差别
[00:02:55 - 00:02:58] 其实招收海洋工程内的科研院所很多
[00:02:58 - 00:03:00] 我为什么给你写这两个
[00:03:00 - 00:03:01] 我为什么给你写这两个
[00:03:01 - 00:03:03] 因为这一个在北京
[00:03:03 - 00:03:05] 一个在上海
[00:03:05 - 00:03:09] 如果说你们想拿到北京和上海的户口的话
[00:03:10 - 00:03:12] 在科研院所读研究生
[00:03:12 - 00:03:16] 毕业以后是极有可能留在科研院所工作的
[00:03:16 - 00:03:18] 那么你留在科研院所工作
[00:03:18 - 00:03:21] 基本上都会有当地的户口
[00:03:21 - 00:03:23] 基本上都会有当地的户口
[00:03:23 - 00:03:25] 所以说你本来学的这个专业以后的话
[00:03:25 - 00:03:27] 然后考研考这两个研装单位
[00:03:27 - 00:03:30] 你留在当地拿到当地的户口的
[00:03:30 - 00:03:32] 可能性会非常非常的大
[00:03:32 - 00:03:35] 所以说大家在考虑专业的时候的话
[00:03:35 - 00:03:36] 你真的你可以考虑一下这个专业
[00:03:37 - 00:03:39] 然后的话你说老师我将来想到成为
[00:03:39 - 00:03:40] 成为一个北京人
[00:03:40 - 00:03:41] 成为一个上海人
[00:03:41 - 00:03:44] 很多人真的你会发现学别的专业
[00:03:44 - 00:03:44] 挤破头
[00:03:44 - 00:03:46] 都不一定有这样的机会
[00:03:46 - 00:03:47] 但是你学了这样的专业
[00:03:47 - 00:03:49] 那就很简单
[00:03:49 - 00:03:51] 而且这个专业跟航空飞行机
[00:03:51 - 00:03:52] 设计制造的专业一样
[00:03:52 - 00:03:55] 因为它本科专业就业就已经很好了
[00:03:55 - 00:03:56] 因为造船这个行业
[00:03:56 - 00:03:58] 航海这个行业
[00:03:58 - 00:03:59] 真的很缺人
[00:03:59 - 00:04:00] 非常缺人
[00:04:00 - 00:04:01] 没有那么多学校
[00:04:01 - 00:04:02] 比如说像计算机
[00:04:02 - 00:04:04] 没有那么多计算机
[00:04:04 - 00:04:05] 你见四个大学都在招生
[00:04:05 - 00:04:07] 但是海洋类专业
[00:04:07 - 00:04:08] 可以能吗不可能
[00:04:09 - 00:04:11] 沿海城市才可能去招生对吧
[00:04:11 - 00:04:13] 内陆城市很少我招收这个专业的
[00:04:13 - 00:04:15] 所以说人才是非常非常非常缺的
[00:04:15 - 00:04:17] 但是这个专业的分呢
[00:04:18 - 00:04:18] 没有那么高
[00:04:18 - 00:04:20] 跟一些热门专业我们讲的十大热门
[00:04:20 - 00:04:22] 你去对比一下这个专业
[00:04:22 - 00:04:23] 分别没有那么高
[00:04:23 - 00:04:25] 但是你想拿到的东西
[00:04:25 - 00:04:28] 通过这种专业拿起来是非常简单的
