BV号：BV1F4411Y77k
标题：BV1F4411Y77k
链接：https://www.bilibili.com/video/BV1F4411Y77k
识别语言：zh
语言置信度：1
分段数：206
生成时间：2026-04-04 08:11:49

[00:00:00 - 00:00:02] 大家好我是让学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:06] 在2006年的3月啊在网上有这样一组图片
[00:00:06 - 00:00:08] 让大家非常的不舒服
[00:00:08 - 00:00:10] 这个图片和视频是什么内容呢
[00:00:10 - 00:00:13] 是一个女士虐猫的图片和视频
[00:00:13 - 00:00:15] 她虐猫虐到什么程度啊
[00:00:15 - 00:00:19] 这个女士甚至残忍的用高跟鞋的那个鞋根
[00:00:19 - 00:00:21] 踩到了猫的眼睛里边
[00:00:21 - 00:00:23] 说实话看着都很疼
[00:00:23 - 00:00:26] 而且是反正我看起来是非常非常难受的
[00:00:26 - 00:00:29] 当然很多网民看到这个视频和图片以后
[00:00:29 - 00:00:30] 也非常的难受
[00:00:30 - 00:00:31] 号召怎么样呢
[00:00:31 - 00:00:33] 要号召把这个女士给找出来
[00:00:33 - 00:00:35] 给她抓起来
[00:00:35 - 00:00:36] 找呢
[00:00:36 - 00:00:37] 确实是找到了
[00:00:37 - 00:00:40] 马上就找到了这个人到底是谁
[00:00:40 - 00:00:43] 但是我们能不能把她给抓起来
[00:00:43 - 00:00:44] 让她绳之以法
[00:00:44 - 00:00:46] 有没有什么新闻的法律
[00:00:46 - 00:00:47] 能够判这样的女士
[00:00:47 - 00:00:49] 让她能够去东监狱
[00:00:49 - 00:00:50] 哎
[00:00:50 - 00:01:01] 这就是我们本期要讨论的事情
[00:01:01 - 00:01:01] 大家好
[00:01:01 - 00:01:02] 我是老学习
[00:01:02 - 00:01:03] 变得更快乐的张雪凤老师
[00:01:03 - 00:01:05] 欢迎大家收看法律骑士
[00:01:05 - 00:01:05] 很好玩
[00:01:05 - 00:01:06] 那么做到我身边的呢
[00:01:06 - 00:01:07] 也许是我们的法学专家
[00:01:07 - 00:01:09] 我们研途教育的千元老师
[00:01:09 - 00:01:10] 杨艳侠老师
[00:01:10 - 00:01:11] 杨老师跟大家打个招呼
[00:01:11 - 00:01:12] 好 大家好
[00:01:12 - 00:01:13] 杨老师
[00:01:13 - 00:01:15] 像我们刚才说到这个事件
[00:01:16 - 00:01:17] 就是这个女的她去虐谋
[00:01:17 - 00:01:18] 然后的话
[00:01:18 - 00:01:19] 罚了一些各种视频和图片
[00:01:19 - 00:01:21] 在网上引起了广大网友的
[00:01:21 - 00:01:23] 几不舒适感
[00:01:23 - 00:01:25] 那我们能不能去将她
[00:01:25 - 00:01:26] 绳之衣法
[00:01:26 - 00:01:28] 让她收到法律的制裁
[00:01:28 - 00:01:29] 我们这个绳之衣法
[00:01:29 - 00:01:32] 一般指的就是绳之衣刑法
[00:01:32 - 00:01:33] 拿绳子绑起来
[00:01:33 - 00:01:35] 送她监狱面去
[00:01:35 - 00:01:37] 就是生子一法是刚才是这么来的
[00:01:37 - 00:01:40] 就这样用法律把它绑起来
[00:01:40 - 00:01:43] 那么这样讲的话呢
[00:01:43 - 00:01:46] 就说做不到
[00:01:46 - 00:01:46] 做不到
[00:01:46 - 00:01:47] 因为呢
[00:01:47 - 00:01:50] 我们刑法还有一个基本的原则
[00:01:50 - 00:01:51] 这个罪刑法定原则
[00:01:51 - 00:01:52] 就是刑法呢
[00:01:52 - 00:01:54] 如果没有明文规定的
[00:01:54 - 00:01:55] 它即使再恶劣
[00:01:55 - 00:01:57] 你也不能把它认定为犯罪
[00:01:58 - 00:01:59] 我的天
[00:01:59 - 00:02:00] 但是比如说你比如说
[00:02:00 - 00:02:01] 它是虐待这个谋嘛
[00:02:01 - 00:02:02] 对吧
[00:02:02 - 00:02:03] 那就没有说
[00:02:03 - 00:02:04] 比如说你
[00:02:04 - 00:02:05] 你们就虐待动物
[00:02:05 - 00:02:07] 因为他就不是说杀害
[00:02:07 - 00:02:08] 就虐待动物
[00:02:08 - 00:02:09] 或者说是
[00:02:09 - 00:02:11] 比如说他这个猫假如说
[00:02:11 - 00:02:12] 是个别人的猫的话
[00:02:12 - 00:02:14] 那就是什么财产
[00:02:14 - 00:02:15] 这都定不了吗
[00:02:15 - 00:02:16] 这个视频我看过
[00:02:16 - 00:02:18] 真的特别残忍
[00:02:18 - 00:02:19] 他那个高跟鞋特别特别细
[00:02:19 - 00:02:21] 他就插那个小猫的眼睛里面
[00:02:21 - 00:02:24] 小猫的眼珠子脑浆后来都出来了
[00:02:24 - 00:02:25] 特别可怕
[00:02:25 - 00:02:26] 但是呢
[00:02:26 - 00:02:28] 我们没有虐待动物罪
[00:02:28 - 00:02:30] 没有虐待动物罪
[00:02:30 - 00:02:31] 然后呢
[00:02:31 - 00:02:32] 你如果说
[00:02:32 - 00:02:34] 作为故意毁坏财物的话
[00:02:34 - 00:02:35] 那么一只小猫
[00:02:36 - 00:02:37] 他也不吃多少钱
[00:02:37 - 00:02:39] 而且他可能是一个流浪猫
[00:02:39 - 00:02:40] 他是无主的
[00:02:40 - 00:02:42] 所以也不能定
[00:02:42 - 00:02:43] 所以对于这个案例
[00:02:43 - 00:02:46] 当时大家全国人民一片喊打声
[00:02:46 - 00:02:47] 但是最终呢
[00:02:47 - 00:02:48] 我们发现的
[00:02:48 - 00:02:49] 从刑事方面
[00:02:49 - 00:02:51] 我们没有办法定罪
[00:02:51 - 00:02:52] 那我对这种人
[00:02:52 - 00:02:53] 我就没着了吗
[00:02:53 - 00:02:55] 我就没办法了吗
[00:02:55 - 00:02:56] 从刑事方面
[00:02:56 - 00:02:57] 没有办法定罪
[00:02:57 - 00:02:58] 从行政法的方面
[00:02:58 - 00:02:59] 从法律的角度
[00:02:59 - 00:03:01] 目前我们的虐待动物罪
[00:03:01 - 00:03:03] 只要一天不制定
[00:03:03 - 00:03:05] 从刑法方面就没有办法
[00:03:05 - 00:03:06] 然后行政法方面的
[00:03:06 - 00:03:07] 如果没有这种规定虐待动物的
[00:03:07 - 00:03:09] 这种违反治安管理的行为
[00:03:09 - 00:03:10] 也没有办法
[00:03:10 - 00:03:12] 但这个案子最后是怎么处理的
[00:03:12 - 00:03:16] 一个全国人民起声喊打
[00:03:16 - 00:03:18] 这个舆论使得以后
[00:03:18 - 00:03:20] 这种视频它就不太敢出来了
[00:03:20 - 00:03:22] 因为它一出来
[00:03:22 - 00:03:23] 直接你整个这个网站
[00:03:23 - 00:03:27] 你这个视频发布人全部臭名昭主
[00:03:27 - 00:03:29] 你就等于把自己毁掉了
[00:03:29 - 00:03:31] 就说群众用那种网络的力量
[00:03:31 - 00:03:33] 把它压下去了
[00:03:33 - 00:03:33] 这是第一个
[00:03:34 - 00:03:36] 第二个那个女士后来被她自己的单位
[00:03:36 - 00:03:38] 给了一个行政处分
[00:03:38 - 00:03:40] 那么她也就因此就吸取教训了
[00:03:40 - 00:03:41] 不会再继续做
[00:03:41 - 00:03:44] 你还就是出来道歉啊或者怎么样对吧
[00:03:44 - 00:03:45] 杨老师
[00:03:45 - 00:03:47] 你看在这个事件当中啊
[00:03:47 - 00:03:48] 这个女士虐那个猫
[00:03:48 - 00:03:53] 就是可能可能是她自己就是花钱买的啊或者流量货她没有这种主权是吧
[00:03:53 - 00:03:57] 那这个法律可能就是拿她可能没有什么办法
[00:03:57 - 00:03:58] 那比如说我再说另外一个事啊
[00:03:58 - 00:04:01] 比如说我理理关系可能不是特别的好
[00:04:01 - 00:04:03] 很多人理理关系都不好
[00:04:03 - 00:04:05] 比如说我跟楼下关系不是特别的好
[00:04:05 - 00:04:07] 然后我买花盆
[00:04:07 - 00:04:09] 我只买花盆我不买花盆
[00:04:09 - 00:04:09] 你干嘛
[00:04:09 - 00:04:11] 你看我跟楼下关系不好
[00:04:11 - 00:04:12] 对吧
[00:04:12 - 00:04:13] 我买这花盆
[00:04:13 - 00:04:14] 我就成天再加刷花盆
[00:04:14 - 00:04:15] 对吧
[00:04:15 - 00:04:16] 花盆是我自己的
[00:04:16 - 00:04:17] 房子是我的
[00:04:17 - 00:04:18] 对吧
[00:04:18 - 00:04:19] 我就摔
[00:04:19 - 00:04:20] 那这个事
[00:04:20 - 00:04:22] 是不是按照刚才我们说这个事
[00:04:22 - 00:04:23] 那我是不是也是法律媒体
[00:04:23 - 00:04:24] 没法对我进行制裁
[00:04:25 - 00:04:28] 我觉得你跟我开这个节目以后学坏了
[00:04:28 - 00:04:30] 那不是说坏了我就想再一问嘛对吧
[00:04:30 - 00:04:32] 这样的这个跟刚才那个又不一样
[00:04:32 - 00:04:33] 啊
[00:04:33 - 00:04:37] 这一次人家就能想办法让你赔钱了
[00:04:37 - 00:04:37] 为什么呢
[00:04:37 - 00:04:40] 因为呢虽然你的房子你的花盆
[00:04:40 - 00:04:41] 你自己摔的
[00:04:41 - 00:04:46] 但是因为你这个摔会直接导致楼下产生噪音
[00:04:46 - 00:04:48] 而且是用不定时的噪音对不对
[00:04:48 - 00:04:53] 那么汇对楼下的人的这种血压呀心脏呀造成损害
[00:04:53 - 00:04:59] 那么你行使你的权力的过程损害了别人的权力
[00:04:59 - 00:05:00] 这个就不可以
[00:05:00 - 00:05:03] 哪怕就是说东西是你自己的
[00:05:03 - 00:05:06] 然后的话哪怕你行使自己这个权力
[00:05:06 - 00:05:07] 各种各样的权力
[00:05:07 - 00:05:12] 但是你得保证你这个权力是不影响到别人权力的情况下
[00:05:12 - 00:05:14] 你才能过去做这个事情
[00:05:14 - 00:05:16] 否则的话你只要影响到别人的权力
[00:05:16 - 00:05:18] 反正肯定是对你是有办法的
[00:05:18 - 00:05:21] 哪怕说是像我们说虐猫的这个事情
[00:05:21 - 00:05:26] 虽然说我们国家的法律当中没有决在对民
[00:05:26 - 00:05:31] 但是最后舆论我们网络会对这个人造成一定的影响
[00:05:31 - 00:05:33] 你看这个单位也不是给行动处分了吗
[00:05:33 - 00:05:34] 对对对
[00:05:34 - 00:05:35] 而且大家最后都知道这个人是谁了
[00:05:35 - 00:05:40] 这人这一辈子的所谓的名声就臭了
[00:05:40 - 00:05:41] 他就臭了
[00:05:41 - 00:05:41] 对吧
[00:05:41 - 00:05:42] 你出门人就说你看这人
[00:05:42 - 00:05:44] 他就是对对对对对
[00:05:44 - 00:05:46] 这舆论道德的压力
[00:05:46 - 00:05:48] 其实可能我个人觉得他可能比这个所谓
[00:05:48 - 00:05:50] 真在让你去蹲那么一年半年
[00:05:50 - 00:05:52] 可能还要严重 对吧
[00:05:52 - 00:05:54] 毕竟大家都知道是你了
[00:05:54 - 00:05:55] 所以说大家不管怎么样
[00:05:55 - 00:05:57] 就是你行使你自己权力的时候
[00:05:57 - 00:06:00] 一定不要做那些不好的事情
[00:06:00 - 00:06:01] 违反别人权益
[00:06:01 - 00:06:03] 然后的话让大众不舒服
[00:06:03 - 00:06:04] 不是 你做那个事
[00:06:04 - 00:06:05] 虽然说有的说法律难
[00:06:05 - 00:06:06] 你没办法
[00:06:06 - 00:06:09] 但是咱们舆论和网络肯定会让你很难受的
[00:06:09 - 00:06:11] 要爱惜自己的运动
[00:06:11 - 00:06:13] 对 不要做那些懒心发火的事
